672603.381	3493835.575	0	79.5165
663254.851	3490278.025	0	63.6132
667970.78	3493676.556	0	227.9473
664826.687	3492015.746	0	462.706
672438.128	3493222.654	0	127.2264
667507.227	3489357.923	0	63.6132
672576.061	3495835.708	0	37.1077
673115.265	3496775.616	0	106.022
672493.49	3499486.34	0	47.7099
675707.183	3498721.499	0	74.2154
674547.412	3498187.883	0	63.6132
673556.673	3498179.578	0	79.5165
662116.008	3497428.49	0	238.5495
688057.02	3503583.1	0	1
675915.64	3494351.69	0	31.8066
677934.81	3496914.5	0	42.4088
